iter	Passed	Remaining
0	97	97543
1	98	49086
2	99	33024
3	100	25024
4	101	20160
5	102	16913
6	102	14596
7	103	12854
8	104	11497
9	105	10427
10	106	9551
11	107	8814
12	107	8186
13	108	7649
14	109	7180
15	110	6771
16	110	6411
17	111	6099
18	112	5821
19	113	5562
20	114	5328
21	115	5116
22	115	4922
23	116	4744
24	117	4584
25	119	4463
26	120	4326
27	120	4199
28	121	4078
29	122	3959
30	123	3854
31	124	3757
32	125	3665
33	125	3576
34	126	3492
35	127	3412
36	128	3337
37	128	3262
38	129	3190
39	130	3133
40	131	3073
41	132	3015
42	132	2959
43	133	2907
44	134	2855
45	135	2809
46	136	2769
47	137	2725
48	138	2682
49	139	2641
50	139	2600
51	140	2562
52	141	2524
53	142	2490
54	143	2457
55	143	2424
56	144	2392
57	145	2361
58	146	2331
59	146	2301
60	147	2272
61	148	2246
62	149	2222
63	150	2197
64	151	2172
65	151	2147
66	152	2123
67	153	2099
68	153	2073
69	154	2052
70	155	2031
71	156	2011
72	156	1990
73	157	1970
74	157	1947
75	158	1929
76	159	1910
77	160	1892
78	160	1875
79	161	1859
80	162	1843
81	163	1828
82	164	1814
83	164	1798
84	165	1782
85	166	1767
86	167	1753
87	167	1739
88	168	1725
89	169	1711
90	170	1698
91	170	1685
92	171	1673
93	172	1661
94	173	1649
95	173	1637
96	174	1625
97	175	1613
98	176	1602
99	176	1590
100	177	1579
101	178	1568
102	178	1556
103	179	1546
104	180	1536
105	180	1524
106	181	1516
107	182	1507
108	183	1497
109	183	1486
110	184	1477
111	185	1467
112	185	1459
113	186	1450
114	187	1441
115	188	1433
116	188	1425
117	189	1416
118	190	1408
119	190	1400
120	191	1390
121	192	1383
122	192	1375
123	193	1368
124	194	1361
125	195	1353
126	195	1346
127	196	1339
128	197	1332
129	198	1325
130	198	1318
131	199	1311
132	200	1304
133	200	1298
134	201	1291
135	202	1285
136	203	1279
137	203	1272
138	204	1267
139	205	1261
140	206	1255
141	206	1249
142	207	1243
143	208	1237
144	208	1231
145	209	1226
146	210	1220
147	211	1215
148	211	1210
149	212	1204
150	213	1199
151	214	1194
152	214	1188
153	215	1183
154	216	1178
155	216	1171
156	217	1167
157	218	1162
158	218	1157
159	219	1152
160	220	1148
161	220	1143
162	221	1138
163	222	1133
164	223	1129
165	223	1124
166	224	1119
167	225	1115
168	225	1110
169	226	1106
170	227	1101
171	227	1097
172	228	1093
173	229	1089
174	230	1085
175	230	1081
176	231	1077
177	232	1073
178	233	1069
179	233	1065
180	234	1061
181	235	1057
182	235	1053
183	236	1049
184	237	1045
185	238	1041
186	238	1037
187	239	1034
188	240	1030
189	240	1026
190	241	1022
191	242	1019
192	242	1015
193	244	1014
194	244	1010
195	245	1007
196	246	1003
197	246	1000
198	247	997
199	248	993
200	249	990
201	249	986
202	250	983
203	251	980
204	251	977
205	252	973
206	253	970
207	254	967
208	254	964
209	255	961
210	256	958
211	256	955
212	257	952
213	258	949
214	259	947
215	260	944
216	261	941
217	261	939
218	262	936
219	263	933
220	264	931
221	264	928
222	265	925
223	266	923
224	267	920
225	268	918
226	268	915
227	269	913
228	270	910
229	271	907
230	271	905
231	272	902
232	273	900
233	274	897
234	274	894
235	275	892
236	276	889
237	276	886
238	277	884
239	278	881
240	279	879
241	279	876
242	280	874
243	281	871
244	282	869
245	282	866
246	283	864
247	284	861
248	284	859
249	285	857
250	286	854
251	287	852
252	287	850
253	288	847
254	289	845
255	290	842
256	290	840
257	291	838
258	292	836
259	292	833
260	293	831
261	294	829
262	295	827
263	295	824
264	296	822
265	297	820
266	298	818
267	298	816
268	299	814
269	300	812
270	301	809
271	301	807
272	302	805
273	303	803
274	304	801
275	304	799
276	305	797
277	306	795
278	306	792
279	307	790
280	308	788
281	308	786
282	309	784
283	310	782
284	311	780
285	311	778
286	312	776
287	313	774
288	314	772
289	314	770
290	315	768
291	316	766
292	316	764
293	317	762
294	318	760
295	319	758
296	319	757
297	320	755
298	321	753
299	322	751
300	322	749
301	323	747
302	324	745
303	326	746
304	327	745
305	328	743
306	328	742
307	329	740
308	330	738
309	330	736
310	331	734
311	332	733
312	333	731
313	333	729
314	334	728
315	335	726
316	336	724
317	336	722
318	337	720
319	338	719
320	339	717
321	339	715
322	340	714
323	341	712
324	342	710
325	342	708
326	343	707
327	344	705
328	345	703
329	345	702
330	346	700
331	347	699
332	348	697
333	348	695
334	349	694
335	350	692
336	351	690
337	351	689
338	352	688
339	353	686
340	354	685
341	355	683
342	355	681
343	356	680
344	357	678
345	358	676
346	358	675
347	359	673
348	360	672
349	361	670
350	361	668
351	362	667
352	363	665
353	363	663
354	364	662
355	365	660
356	365	659
357	366	657
358	367	655
359	368	654
360	368	652
361	369	650
362	370	649
363	370	647
364	371	646
365	372	644
366	372	643
367	373	641
368	374	639
369	374	638
370	375	636
371	376	635
372	376	633
373	377	632
374	378	630
375	379	629
376	379	627
377	380	626
378	381	624
379	381	623
380	382	621
381	383	620
382	384	618
383	384	617
384	385	615
385	386	614
386	386	612
387	387	611
388	388	609
389	388	608
390	389	606
391	390	605
392	391	603
393	391	602
394	392	601
395	393	599
396	393	598
397	394	596
398	395	595
399	395	593
400	396	592
401	397	591
402	398	589
403	398	588
404	399	587
405	400	585
406	401	584
407	401	582
408	402	581
409	403	580
410	404	579
411	404	577
412	405	576
413	406	574
414	406	573
415	407	572
416	408	570
417	409	569
418	409	568
419	410	566
420	411	565
421	412	564
422	412	563
423	413	561
424	414	560
425	415	559
426	415	558
427	416	556
428	417	555
429	418	554
430	418	553
431	419	551
432	420	550
433	421	549
434	422	548
435	422	547
436	423	545
437	424	544
438	425	543
439	425	541
440	426	540
441	427	539
442	427	538
443	428	536
444	429	535
445	430	534
446	430	532
447	431	531
448	432	530
449	432	529
450	433	527
451	434	526
452	435	525
453	435	524
454	436	522
455	437	521
456	438	520
457	438	519
458	439	518
459	440	516
460	441	515
461	441	514
462	442	513
463	443	512
464	444	511
465	444	509
466	445	508
467	446	507
468	447	506
469	447	505
470	448	503
471	449	502
472	450	501
473	450	500
474	451	499
475	452	498
476	453	496
477	453	495
478	454	494
479	455	493
480	456	492
481	456	490
482	457	489
483	458	488
484	458	487
485	459	486
486	460	485
487	461	483
488	461	482
489	462	481
490	463	480
491	463	479
492	464	477
493	465	476
494	466	475
495	466	474
496	467	473
497	468	472
498	469	470
499	469	469
500	470	468
501	471	467
502	472	466
503	472	465
504	473	464
505	473	462
506	474	461
507	475	460
508	476	459
509	476	458
510	477	457
511	478	455
512	479	454
513	479	453
514	480	452
515	481	451
516	482	450
517	482	449
518	483	448
519	484	447
520	485	445
521	485	444
522	486	443
523	487	442
524	487	441
525	488	440
526	489	439
527	490	438
528	490	437
529	491	435
530	492	434
531	492	433
532	493	432
533	494	431
534	495	430
535	495	429
536	496	428
537	497	427
538	498	425
539	498	424
540	499	423
541	500	422
542	500	421
543	501	420
544	502	419
545	503	418
546	503	417
547	504	416
548	505	415
549	505	413
550	506	412
551	507	411
552	508	410
553	509	409
554	509	408
555	510	407
556	511	406
557	511	405
558	512	404
559	513	403
560	514	402
561	514	401
562	515	400
563	516	399
564	516	397
565	517	396
566	518	395
567	519	394
568	519	393
569	520	392
570	521	391
571	522	390
572	522	389
573	523	388
574	524	387
575	525	386
576	525	385
577	526	384
578	527	383
579	528	382
580	528	381
581	529	380
582	530	379
583	530	378
584	531	377
585	532	376
586	533	375
587	533	374
588	534	373
589	535	372
590	536	371
591	536	369
592	537	368
593	538	367
594	539	366
595	539	365
596	540	364
597	541	363
598	542	362
599	542	361
600	543	360
601	544	359
602	545	358
603	545	357
604	546	356
605	547	355
606	547	354
607	548	353
608	549	352
609	550	351
610	550	350
611	551	349
612	552	348
613	552	347
614	553	346
615	554	345
616	554	344
617	555	343
618	556	342
619	557	341
620	557	340
621	558	339
622	559	338
623	560	337
624	560	336
625	561	335
626	562	334
627	562	333
628	563	332
629	564	331
630	565	330
631	565	329
632	566	328
633	567	327
634	567	326
635	568	325
636	569	324
637	570	323
638	570	322
639	571	321
640	572	320
641	573	319
642	573	318
643	574	317
644	575	316
645	576	315
646	576	314
647	577	313
648	578	312
649	579	311
650	579	310
651	580	309
652	581	308
653	581	307
654	582	306
655	583	305
656	584	305
657	584	304
658	585	303
659	586	302
660	587	301
661	587	300
662	588	299
663	589	298
664	590	297
665	590	296
666	591	295
667	592	294
668	592	293
669	593	292
670	594	291
671	595	290
672	595	289
673	596	288
674	597	287
675	598	286
676	598	285
677	599	284
678	600	283
679	601	282
680	601	281
681	602	280
682	603	280
683	604	279
684	604	278
685	605	277
686	606	276
687	606	275
688	607	274
689	608	273
690	609	272
691	609	271
692	610	270
693	611	269
694	612	268
695	612	267
696	613	266
697	614	265
698	615	264
699	615	263
700	616	263
701	617	262
702	618	261
703	618	260
704	619	259
705	620	258
706	621	257
707	621	256
708	622	255
709	623	254
710	623	253
711	624	252
712	625	251
713	626	250
714	626	249
715	627	248
716	628	248
717	629	247
718	629	246
719	630	245
720	631	244
721	632	243
722	632	242
723	633	241
724	634	240
725	634	239
726	635	238
727	636	237
728	637	236
729	638	235
730	638	235
731	639	234
732	640	233
733	641	232
734	641	231
735	642	230
736	643	229
737	644	228
738	644	227
739	645	226
740	646	225
741	646	224
742	647	224
743	648	223
744	649	222
745	649	221
746	650	220
747	651	219
748	652	218
749	652	217
750	653	216
751	654	215
752	654	214
753	655	213
754	656	213
755	657	212
756	658	211
757	658	210
758	659	209
759	660	208
760	660	207
761	661	206
762	662	205
763	663	204
764	663	203
765	664	203
766	665	202
767	666	201
768	666	200
769	667	199
770	668	198
771	668	197
772	669	196
773	670	195
774	671	194
775	671	193
776	672	193
777	673	192
778	674	191
779	674	190
780	675	189
781	676	188
782	676	187
783	677	186
784	678	185
785	679	184
786	679	183
787	680	183
788	681	182
789	682	181
790	682	180
791	683	179
792	684	178
793	685	177
794	685	176
795	686	175
796	687	175
797	688	174
798	688	173
799	689	172
800	690	171
801	690	170
802	691	169
803	692	168
804	693	167
805	693	167
806	694	166
807	695	165
808	696	164
809	697	163
810	698	162
811	699	161
812	700	161
813	700	160
814	701	159
815	702	158
816	703	157
817	704	156
818	704	155
819	705	154
820	706	154
821	707	153
822	707	152
823	708	151
824	709	150
825	710	149
826	710	148
827	711	147
828	712	146
829	712	146
830	713	145
831	714	144
832	715	143
833	715	142
834	716	141
835	717	140
836	718	139
837	718	138
838	719	138
839	720	137
840	720	136
841	721	135
842	722	134
843	723	133
844	723	132
845	724	131
846	725	131
847	726	130
848	726	129
849	727	128
850	728	127
851	729	126
852	729	125
853	730	124
854	731	123
855	731	123
856	732	122
857	733	121
858	733	120
859	734	119
860	735	118
861	736	117
862	736	116
863	737	116
864	738	115
865	739	114
866	739	113
867	740	112
868	741	111
869	741	110
870	742	109
871	743	109
872	744	108
873	744	107
874	745	106
875	746	105
876	746	104
877	747	103
878	748	103
879	748	102
880	749	101
881	750	100
882	751	99
883	751	98
884	752	97
885	753	96
886	753	96
887	754	95
888	755	94
889	755	93
890	756	92
891	757	91
892	758	90
893	758	89
894	759	89
895	760	88
896	760	87
897	761	86
898	762	85
899	763	84
900	763	83
901	764	83
902	765	82
903	765	81
904	766	80
905	767	79
906	768	78
907	768	77
908	769	77
909	770	76
910	770	75
911	771	74
912	772	73
913	773	72
914	773	71
915	774	71
916	775	70
917	775	69
918	776	68
919	777	67
920	778	66
921	779	65
922	780	65
923	781	64
924	781	63
925	782	62
926	783	61
927	783	60
928	784	59
929	785	59
930	786	58
931	786	57
932	787	56
933	788	55
934	789	54
935	789	54
936	790	53
937	791	52
938	792	51
939	792	50
940	793	49
941	794	48
942	795	48
943	795	47
944	796	46
945	797	45
